,SMILES,ERE,HRE,rings,fused,bridged,F,S,O,Si,N
0,c1ccc2c(c1)ccc1ccccc12,0.316193854,0.218749614,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,c1ccc2cc3cc4c(ccc5cc6cc7ccccc7cc6cc54)cc3cc2c1,0.148908243,0.065630074,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2,c1ccc2cc3c(ccc4c3ccc3c5cc6ccccc6cc5ccc34)cc2c1,0.125508971,0.12952976,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
3,c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12,0.180891149,0.153495034,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
4,c1ccc2ccccc2c1,0.260864903,0.186561098,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C1C=Cc2ccccc12,0.421463639,0.308630901,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C1=CC2=CC=CC2=C1,0.638411028,0.731530878,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,c1cc2cccccc2c1,0.298280608,0.25855665,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,c1ccc2c(c1)c1ccccc21,0.401129348,0.305471986,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
10,c1ccc2c(c1)c1ccc3c4ccc5c6ccccc6c5c4c3c21,0.223415428,0.228476326,7.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
11,c1ccc2c(c1)c1cc3c(cc21)c1cc2c4ccccc4c2cc31,0.299191272,0.239683133,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
12,c1ccc2c(c1)c1c2c2c3ccccc3c2c2c3ccccc3c12,0.219609937,0.225294553,7.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
13,c1ccc2cc3c(cc2c1)c1cc2ccccc2cc31,0.123735644,0.225053295,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
14,C1=Cc2cccc3cccc1c23,0.283773413,0.414266764,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C1C=Cc2cccc3cccc1c23,0.27440233,0.202042523,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,c1cc2ccc3cccc4ccc(c1)c2c34,0.211936124,0.154645051,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
17,c1ccc2c(c1)c1ccccc1c1ccccc21,0.255795568,0.181953735,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
18,C1=Cc2c3c1cccc3cc1ccccc21,0.228099854,0.223023009,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19,C1=Cc2cc3ccccc3c3cccc1c23,0.294532534,0.314752455,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
20,c1ccc2c(c1)c1cccc3cccc2c13,0.2603558,0.139228227,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
21,c1ccc2=Cc3cccc4cccc(C=c2c1)c34,0.281686363,0.183766274,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
22,C1Cc2ccc3C=c4ccccc4=Cc4ccc1c2c34,0.278277373,0.204962983,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
23,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,0.173285202,0.145410326,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
24,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.196284164,0.145470028,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
25,C1Cc2c3c1cccc3cc1c2ccc2ccccc12,0.184620991,0.151115732,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
